listing_id,sqft,bedrooms,bathrooms,age_years,neighborhood,has_garage,price
L200557,1654,1,1,33,waterfront,no,407800.0
L200558,4450,4,3,6,suburbs,no,763800.0
L200559,1099,1,1,9,rural,no,201400.0
L200560,3622,3,3,25,waterfront,no,702500.0
L200561,2106,3,2,78,rural,yes,344400.0
L200562,3043,3,3,74,downtown,yes,534600.0
L200563,3856,5,4,4,downtown,yes,789200.0
L200564,2352,3,3,5,downtown,yes,546500.0
L200565,918,2,1,55,suburbs,yes,182300.0
L200566,3772,5,4,75,suburbs,yes,612900.0
L200567,1113,1,1,40,downtown,no,237400.0
L200568,3347,3,3,42,suburbs,yes,535600.0
L200569,2316,3,2,48,suburbs,no,366800.0
L200570,2443,3,2,35,suburbs,yes,428500.0
L200571,1622,2,2,59,downtown,no,317900.0
L200572,2550,3,3,9,downtown,yes,497600.0
L200573,1329,2,2,4,suburbs,yes,277800.0
L200574,1492,1,1,5,downtown,yes,353200.0
L200575,2445,3,2,17,suburbs,yes,439200.0
L200576,3675,5,4,43,suburbs,yes,618700.0
L200577,2603,3,2,21,suburbs,no,391800.0
L200578,4025,5,4,47,rural,no,670500.0
L200579,1670,3,2,1,downtown,yes,411000.0
L200580,664,1,1,34,downtown,yes,219800.0
L200581,1801,2,1,11,waterfront,yes,465900.0
L200582,1036,1,1,22,suburbs,yes,225900.0
L200583,2640,2,2,51,downtown,yes,501800.0
L200584,4465,5,4,1,suburbs,yes,787800.0
L200585,2506,2,2,61,suburbs,yes,428100.0
L200586,1294,2,2,21,suburbs,yes,295800.0
L200587,2876,4,4,68,rural,yes,501800.0
L200588,3472,4,4,57,downtown,yes,628700.0
L200589,3995,4,4,72,suburbs,no,641900.0
L200590,2475,3,3,48,suburbs,yes,396000.0
L200591,2254,4,4,32,suburbs,yes,426900.0
L200592,2633,1,1,12,suburbs,yes,440100.0
L200593,1434,2,2,5,waterfront,yes,442300.0
L200594,1022,1,1,63,suburbs,yes,175700.0
L200595,3609,4,3,51,rural,no,576300.0
L200596,1137,1,1,11,downtown,no,272800.0
L200597,3287,3,3,7,suburbs,no,553100.0
L200598,2853,4,3,63,rural,yes,439000.0
L200599,2438,3,2,4,downtown,yes,534400.0
L200600,2072,1,1,41,waterfront,yes,453800.0
L200601,4436,6,4,25,suburbs,yes,713400.0
L200602,3710,5,4,57,rural,yes,620700.0
L200603,1238,1,1,4,downtown,yes,292900.0
L200604,4390,5,4,6,suburbs,yes,775600.0
L200605,1105,2,2,11,suburbs,no,209700.0
L200606,3768,5,4,59,waterfront,yes,761700.0
L200607,2263,3,2,56,downtown,yes,379300.0
L200608,2183,3,2,57,suburbs,yes,378200.0
L200609,2566,3,3,46,suburbs,yes,428600.0
L200610,2480,4,4,14,rural,yes,423300.0
L200611,1091,1,1,18,waterfront,yes,363400.0
L200612,1211,2,2,11,rural,no,219800.0
L200613,3469,2,1,10,downtown,no,614600.0
L200614,3313,3,3,59,rural,yes,496500.0
L200615,2132,3,2,36,suburbs,no,396000.0
L200616,2344,3,3,33,suburbs,yes,418900.0
L200617,2094,2,2,11,downtown,no,473600.0
L200618,3943,4,3,51,rural,yes,652000.0
L200619,870,1,1,66,suburbs,yes,190600.0
L200620,3142,4,4,0,rural,yes,583100.0
L200621,1801,1,1,74,suburbs,no,248800.0
L200622,1265,2,2,14,suburbs,no,259200.0
L200623,1212,1,1,72,downtown,yes,253000.0
L200624,2202,3,3,59,downtown,yes,470000.0
L200625,1166,1,1,71,waterfront,no,297200.0
L200626,3240,3,2,15,suburbs,yes,554500.0
L200627,1879,1,1,45,downtown,yes,414500.0
L200628,3945,5,4,6,suburbs,no,685300.0
L200629,1168,1,1,35,rural,yes,175900.0
L200630,1968,3,3,14,suburbs,yes,382300.0
L200631,2092,2,2,5,suburbs,yes,422700.0
L200632,3211,4,4,66,rural,yes,520400.0
L200633,1754,2,2,60,downtown,yes,376000.0
L200634,1277,1,1,27,suburbs,no,234100.0
L200635,2182,2,1,33,suburbs,no,307300.0
L200636,4128,6,4,42,suburbs,yes,690600.0
L200637,3776,6,4,48,downtown,no,701300.0
L200638,2843,3,2,46,downtown,yes,548100.0
L200639,4483,5,4,24,waterfront,yes,864800.0
L200640,3597,3,2,29,rural,yes,544000.0
L200641,3585,3,3,79,waterfront,yes,678900.0
L200642,2147,3,2,7,rural,yes,417100.0
L200643,2533,2,1,32,downtown,yes,433200.0
L200644,4268,4,4,20,suburbs,no,649200.0
L200645,4211,5,4,19,suburbs,yes,778700.0
L200646,3408,2,2,12,suburbs,yes,536300.0
L200647,979,1,1,7,downtown,no,252300.0
L200648,1199,1,1,72,downtown,yes,218700.0
L200649,2381,2,2,69,downtown,yes,437600.0
L200650,2745,3,3,59,downtown,yes,521700.0
L200651,3031,4,4,74,suburbs,yes,554400.0
L200652,1659,1,1,65,waterfront,yes,404300.0
L200653,3642,4,3,10,suburbs,yes,609800.0
L200654,3850,4,3,64,downtown,yes,640100.0
L200655,1413,1,1,64,downtown,yes,305100.0
L200656,3653,4,4,0,suburbs,yes,647400.0
L200657,1188,2,2,70,suburbs,yes,199200.0
L200658,2528,1,1,59,suburbs,yes,422300.0
L200659,4023,5,4,79,downtown,yes,677100.0
L200660,1777,2,1,38,rural,yes,277200.0
L200661,3271,4,4,59,suburbs,no,560500.0
L200662,3925,5,4,61,downtown,no,677200.0
L200663,2514,2,1,53,waterfront,yes,560000.0
L200664,3916,3,3,76,suburbs,yes,590100.0
L200665,3087,3,3,11,downtown,no,594600.0
L200666,2570,1,1,28,suburbs,yes,406100.0
L200667,1061,1,1,7,suburbs,yes,160400.0
L200668,3397,4,3,48,waterfront,yes,686700.0
L200669,1812,2,2,1,suburbs,yes,379700.0
L200670,1713,2,1,24,rural,yes,262800.0
L200671,4186,4,4,59,suburbs,no,657100.0
L200672,1960,2,2,71,suburbs,yes,311700.0
L200673,2002,2,2,17,downtown,yes,447100.0
L200674,4281,5,4,20,downtown,yes,795300.0
L200675,1729,1,1,2,rural,yes,297000.0
L200676,3471,5,4,28,suburbs,yes,625400.0
L200677,2628,2,1,56,waterfront,yes,528000.0
L200678,881,1,1,71,suburbs,yes,194800.0
L200679,2868,3,3,33,suburbs,no,462500.0
L200680,2385,2,2,8,waterfront,no,557100.0
L200681,3430,5,4,25,suburbs,no,638100.0
L200682,2143,3,3,39,suburbs,yes,393400.0
L200683,1537,1,1,48,rural,no,219300.0
L200684,1500,2,1,46,downtown,yes,344500.0
L200685,2659,3,3,64,suburbs,yes,439800.0
L200686,4480,4,3,46,downtown,no,728000.0
L200687,2357,1,1,32,waterfront,yes,504100.0
L200688,1129,1,1,9,waterfront,yes,398000.0
L200689,3806,3,2,74,rural,yes,576900.0
L200690,1825,1,1,3,suburbs,yes,341000.0
L200691,2255,2,2,26,suburbs,yes,420800.0
L200692,3910,4,3,33,downtown,yes,717400.0
L200693,1032,1,1,71,suburbs,yes,174400.0
L200694,1115,2,2,36,rural,yes,193500.0
L200695,1385,2,1,33,downtown,yes,337400.0
L200696,2066,3,3,75,downtown,yes,403800.0
L200697,3944,3,2,29,suburbs,yes,640100.0
L200698,3073,3,2,60,rural,yes,493200.0
L200699,3624,4,3,2,suburbs,no,625900.0
L200700,1913,2,2,47,suburbs,no,336400.0
L200701,2208,2,1,58,waterfront,yes,496900.0
L200702,2194,2,1,16,downtown,yes,450400.0
L200703,1042,1,1,60,rural,no,130100.0
L200704,2745,3,3,72,suburbs,yes,421700.0
L200705,1895,4,4,4,suburbs,no,368700.0
L200706,4315,5,4,15,downtown,no,813300.0
L200707,3296,4,4,11,suburbs,yes,616400.0
L200708,3996,4,3,75,rural,yes,584700.0
L200709,1360,1,1,23,suburbs,yes,267900.0
L200710,1036,1,1,75,downtown,yes,236400.0
L200711,2303,3,3,30,downtown,no,494800.0
L200712,2820,3,2,78,rural,yes,475500.0
L200713,2783,3,2,44,suburbs,no,472800.0
L200714,3147,3,2,22,downtown,yes,584700.0
L200715,3846,3,2,40,waterfront,yes,764000.0
L200716,1870,2,2,10,downtown,no,379800.0
L200717,1737,2,1,15,rural,yes,354700.0
L200718,1630,2,2,50,downtown,yes,324500.0
L200719,2016,2,2,60,downtown,no,397200.0
L200720,2931,3,2,33,suburbs,yes,503000.0
L200721,3731,4,3,68,rural,yes,567600.0
L200722,2218,2,1,31,suburbs,yes,371800.0
L200723,2230,3,3,29,suburbs,yes,451000.0
L200724,4129,5,4,44,rural,no,673000.0
L200725,1938,3,3,31,rural,yes,340700.0
L200726,1237,1,1,55,suburbs,yes,258500.0
L200727,1944,1,1,72,suburbs,yes,297600.0
L200728,760,1,1,26,suburbs,no,175000.0
L200729,2026,3,2,39,downtown,yes,397900.0
L200730,4108,3,3,26,rural,yes,620100.0
L200731,3759,5,4,47,suburbs,yes,667400.0
L200732,4094,4,3,48,rural,yes,652500.0
L200733,1770,1,1,36,rural,yes,328700.0
L200734,2225,2,1,5,rural,yes,357900.0
L200735,3908,4,4,74,rural,no,608800.0
L200736,3540,3,2,55,waterfront,yes,684500.0
L200737,1322,1,1,57,suburbs,yes,246700.0
L200738,3898,5,4,63,rural,yes,645500.0
L200739,1001,1,1,2,rural,yes,193900.0
L200740,1594,1,1,70,downtown,yes,294600.0
L200741,2678,4,4,6,suburbs,yes,510600.0
L200742,3152,4,4,60,suburbs,yes,514500.0
L200743,3712,3,2,76,downtown,no,632000.0
L200744,3474,4,4,40,suburbs,no,518100.0
L200745,1708,3,3,57,downtown,yes,367000.0
L200746,1994,3,3,69,downtown,yes,434600.0
L200747,3415,3,3,45,suburbs,no,577100.0
L200748,4289,4,3,39,suburbs,yes,669000.0
L200749,3984,4,4,64,rural,no,625100.0
L200750,4371,5,4,62,suburbs,yes,694800.0
L200751,3233,5,4,6,downtown,yes,659400.0
L200752,2498,2,2,5,downtown,yes,531900.0
L200753,3590,4,4,57,downtown,yes,641600.0
L200754,896,2,1,56,suburbs,yes,214300.0
L200755,4251,4,4,65,rural,yes,668600.0
L200756,4183,6,4,6,suburbs,yes,765400.0
L200757,2568,3,2,12,downtown,yes,555900.0
L200758,2639,4,4,2,suburbs,no,524100.0
L200759,2665,3,2,22,waterfront,yes,614600.0
L200760,1141,2,2,40,waterfront,yes,338300.0
L200761,1402,1,1,28,suburbs,no,217100.0
L200762,3455,4,3,9,downtown,yes,669400.0
L200763,727,1,1,44,downtown,yes,224400.0
L200764,3279,4,4,26,suburbs,yes,555100.0
L200765,1790,2,1,22,suburbs,no,330600.0
L200766,1145,1,1,61,suburbs,yes,206900.0
L200767,2925,3,3,25,downtown,yes,573000.0
L200768,1671,1,1,44,waterfront,yes,406300.0
L200769,2344,2,2,5,suburbs,yes,432800.0
L200770,3970,5,4,58,waterfront,yes,801400.0
L200771,3321,5,4,43,rural,yes,580200.0
L200772,4381,5,4,62,suburbs,yes,796500.0
L200773,2148,4,4,24,suburbs,yes,434700.0
L200774,2180,2,1,38,rural,yes,326700.0
L200775,3279,5,4,34,downtown,yes,605200.0
L200776,1124,2,1,78,downtown,yes,217800.0
L200777,3942,5,4,8,suburbs,yes,687500.0
L200778,1972,3,3,16,suburbs,yes,408500.0
L200779,2432,2,2,77,suburbs,yes,376000.0
L200780,2579,4,3,6,downtown,yes,566400.0
L200781,860,1,1,22,suburbs,yes,170500.0
L200782,1771,2,1,25,suburbs,no,322300.0
L200783,1144,1,1,62,rural,no,173400.0
L200784,2984,4,4,61,downtown,yes,567900.0
L200785,3355,5,4,69,rural,no,541400.0
L200786,630,1,1,7,waterfront,yes,277600.0
L200787,631,1,1,17,suburbs,yes,129900.0
L200788,3784,4,4,37,suburbs,yes,663000.0
L200789,1905,2,2,58,downtown,yes,397600.0
L200790,3894,5,4,45,suburbs,no,670000.0
L200791,3167,3,2,41,rural,yes,523500.0
L200792,3655,3,2,64,downtown,no,618300.0
L200793,2099,3,2,15,rural,yes,366500.0
L200794,1783,2,1,67,downtown,yes,346900.0
L200795,3417,3,3,52,rural,yes,543400.0
L200796,3066,3,3,19,suburbs,yes,538600.0
L200797,2823,2,1,35,suburbs,yes,468400.0
L200798,2024,2,1,21,waterfront,yes,466500.0
L200799,2993,3,3,24,suburbs,yes,502100.0
L200800,2118,3,2,54,downtown,no,394600.0
L200801,4071,5,4,24,rural,yes,692200.0
L200802,3365,3,3,68,downtown,yes,603600.0
L200803,2148,3,2,7,waterfront,yes,521800.0
L200804,3889,4,3,13,downtown,yes,750600.0
L200805,877,1,1,73,suburbs,yes,186800.0
L200806,3840,4,4,57,suburbs,yes,628600.0
L200807,2217,4,4,35,suburbs,yes,404300.0
L200808,1501,2,1,19,suburbs,yes,316600.0
L200809,3838,4,3,20,suburbs,yes,661700.0
L200810,3166,4,3,14,suburbs,no,552500.0
L200811,889,2,2,71,downtown,yes,260100.0
L200812,1641,2,1,27,rural,no,254600.0
L200813,2359,2,2,74,downtown,yes,448000.0
L200814,3050,3,2,63,rural,yes,469600.0
L200815,3745,3,2,28,suburbs,yes,702000.0
L200816,2032,2,2,59,rural,no,295900.0
L200817,3753,4,3,38,downtown,no,703400.0
L200818,3680,4,3,38,rural,yes,588500.0
L200819,2074,3,2,61,suburbs,yes,371800.0
L200820,4256,6,4,57,waterfront,yes,838300.0
L200821,4282,5,4,17,downtown,yes,826800.0
L200822,1730,2,1,32,rural,yes,282200.0
L200823,2770,3,3,74,suburbs,yes,469200.0
L200824,3988,5,4,16,waterfront,yes,807600.0
L200825,2701,3,3,57,suburbs,yes,440600.0
L200826,3486,4,4,67,downtown,no,581400.0
L200827,3717,4,4,48,rural,yes,610100.0
L200828,2807,2,1,4,suburbs,yes,471600.0
L200829,2002,2,1,68,suburbs,no,363800.0
L200830,2647,2,2,72,suburbs,yes,408200.0
L200831,3845,5,4,51,waterfront,yes,809700.0
L200832,1845,2,1,63,suburbs,no,319500.0
L200833,3893,5,4,3,suburbs,yes,697500.0
L200834,1392,1,1,57,rural,yes,186900.0
L200835,2402,2,1,64,downtown,no,424700.0
L200836,925,1,1,45,downtown,no,252900.0
L200837,3930,6,4,41,rural,yes,717500.0
L200838,3378,2,2,64,suburbs,yes,497800.0
L200839,1061,1,1,52,downtown,yes,253300.0
L200840,1467,1,1,2,suburbs,no,259700.0
L200841,2658,4,3,14,downtown,no,536900.0
L200842,2532,3,2,47,waterfront,yes,598600.0
L200843,1038,1,1,48,rural,yes,143700.0
L200844,4070,5,4,20,rural,no,629600.0
L200845,2397,3,3,11,rural,yes,429800.0
L200846,3217,4,4,51,rural,no,523100.0
L200847,3535,4,3,24,suburbs,yes,605200.0
L200848,1260,1,1,53,suburbs,yes,203000.0
L200849,1900,2,2,52,waterfront,yes,455400.0
L200850,3464,4,4,17,suburbs,yes,586600.0
L200851,3617,3,3,61,waterfront,yes,716100.0
L200852,1437,2,2,12,rural,no,244900.0
L200853,1846,3,2,31,downtown,yes,447300.0
L200854,3641,4,3,46,suburbs,no,605900.0
L200855,1941,3,3,70,downtown,yes,399900.0
L200856,903,1,1,75,rural,no,101700.0
L200857,2541,2,2,55,waterfront,yes,490400.0
L200858,1152,1,1,53,suburbs,no,186800.0
L200859,2916,3,2,40,downtown,no,535200.0
L200860,4243,4,4,38,suburbs,no,698900.0
L200861,993,2,1,44,downtown,yes,257100.0
L200862,1693,2,1,74,suburbs,yes,311500.0
L200863,2808,2,1,52,waterfront,no,547800.0
L200864,1187,1,1,65,suburbs,yes,179100.0
L200865,2686,2,2,44,suburbs,yes,406200.0
L200866,1438,1,1,58,rural,yes,199800.0
L200867,3079,3,3,68,rural,no,433500.0
L200868,2008,1,1,34,downtown,no,352500.0
L200869,4209,6,4,51,downtown,no,758700.0
L200870,3866,5,4,39,downtown,yes,759500.0
L200871,4474,5,4,40,downtown,yes,838700.0
L200872,1194,1,1,21,downtown,no,249300.0
L200873,4297,5,4,66,suburbs,yes,710700.0
L200874,661,1,1,65,suburbs,yes,137100.0
L200875,1454,3,2,73,downtown,no,323800.0
L200876,3973,4,4,22,suburbs,no,712700.0
L200877,3963,5,4,79,suburbs,yes,623400.0
L200878,1768,1,1,56,downtown,yes,326600.0
L200879,3882,3,2,27,downtown,no,669300.0
L200880,899,2,1,69,downtown,no,222800.0
L200881,1910,2,1,44,suburbs,yes,262200.0
L200882,708,1,1,44,suburbs,no,129200.0
L200883,2617,3,3,60,suburbs,no,386800.0
L200884,4108,5,4,12,downtown,no,771500.0
L200885,2992,3,3,37,downtown,yes,629000.0
L200886,2640,3,3,1,downtown,yes,579300.0
L200887,1372,1,1,34,suburbs,yes,220200.0
L200888,2980,3,3,53,suburbs,yes,492300.0
L200889,1864,3,2,79,suburbs,yes,294500.0
L200890,3002,3,2,17,suburbs,no,543000.0
L200891,1108,1,1,70,downtown,yes,190100.0
L200892,2636,2,1,3,downtown,yes,513700.0
L200893,2540,2,1,1,suburbs,yes,435400.0
L200894,3600,5,4,27,suburbs,no,599100.0
L200895,4145,5,4,23,rural,no,719400.0
L200896,4133,5,4,46,suburbs,yes,663700.0
L200897,1932,2,2,15,suburbs,yes,335600.0
L200898,3100,3,3,44,rural,yes,536700.0
L200899,3147,3,2,79,rural,yes,463900.0
L200900,3891,5,4,13,waterfront,no,796000.0
L200901,3747,5,4,34,downtown,no,687700.0
L200902,637,1,1,48,downtown,no,181700.0
L200903,3723,3,3,34,suburbs,no,596300.0
L200904,2472,2,2,32,suburbs,yes,409100.0
L200905,4306,5,4,3,suburbs,yes,726400.0
L200906,2955,3,2,38,suburbs,yes,503300.0
L200907,2109,3,2,74,suburbs,yes,340100.0
L200908,1384,1,1,69,suburbs,yes,212800.0
L200909,4302,5,4,63,downtown,yes,789400.0
L200910,1225,1,1,6,suburbs,yes,240100.0
L200911,951,1,1,10,suburbs,yes,208400.0
L200912,1131,2,1,42,downtown,no,309600.0
L200913,2751,3,3,23,downtown,yes,564300.0
L200914,1710,2,2,13,suburbs,yes,322500.0
L200915,2865,3,3,14,waterfront,yes,610500.0
L200916,3811,3,2,14,downtown,yes,698000.0
L200917,1735,2,1,7,suburbs,no,340000.0
L200918,707,1,1,48,downtown,yes,191800.0
L200919,2000,2,1,33,suburbs,no,335500.0
L200920,2949,4,4,53,suburbs,no,489100.0
L200921,3440,4,4,17,suburbs,no,591800.0
L200922,865,1,1,48,suburbs,yes,136800.0
L200923,4025,4,3,14,waterfront,yes,817600.0
L200924,2913,1,1,73,suburbs,yes,437500.0
L200925,2478,2,1,13,suburbs,no,454900.0
L200926,1583,2,1,63,waterfront,no,375300.0
L200927,4339,4,4,54,suburbs,yes,693800.0
L200928,1213,1,1,15,downtown,yes,338500.0
L200929,2350,3,2,7,downtown,yes,509900.0
L200930,2416,4,3,50,rural,yes,411300.0
L200931,2733,3,3,3,rural,no,461200.0
L200932,1501,2,1,49,downtown,yes,331100.0
L200933,4279,5,4,54,suburbs,yes,693600.0
L200934,2075,2,1,51,downtown,yes,403900.0
L200935,3377,3,3,78,downtown,yes,591100.0
L200936,3068,5,4,34,waterfront,yes,690500.0
L200937,1391,1,1,40,suburbs,yes,274900.0
L200938,4251,4,4,75,downtown,yes,766500.0
L200939,2394,4,4,68,suburbs,yes,440800.0
L200940,3009,3,3,37,rural,yes,444800.0
L200941,3118,4,4,33,rural,yes,516500.0
L200942,2577,2,1,63,suburbs,no,346000.0
L200943,3088,4,3,45,rural,yes,531600.0
L200944,2772,4,4,38,rural,yes,471900.0
L200945,3488,4,4,65,waterfront,yes,699900.0
L200946,2441,3,3,62,suburbs,no,386200.0
L200947,3768,5,4,33,suburbs,yes,691900.0
L200948,2794,2,2,31,waterfront,yes,594100.0
L200949,4494,6,4,53,suburbs,no,740100.0
L200950,2823,4,4,0,suburbs,yes,545600.0
L200951,2901,3,2,62,rural,yes,448800.0
L200952,2519,3,2,39,waterfront,yes,555300.0
L200953,2149,4,4,69,suburbs,no,409500.0
L200954,3674,4,4,43,suburbs,no,643500.0
L200955,3074,3,3,31,rural,yes,504100.0
L200956,2123,3,2,9,suburbs,yes,387800.0
L200957,3747,3,2,0,suburbs,yes,650000.0
L200958,1023,1,1,53,downtown,yes,230200.0
L200959,842,1,1,15,downtown,yes,285800.0
L200960,3107,3,2,68,suburbs,yes,537100.0
L200961,2386,2,1,39,suburbs,no,402100.0
L200962,3704,4,4,69,rural,no,536600.0
L200963,3189,4,3,37,downtown,yes,603500.0
L200964,3642,4,3,30,downtown,yes,679100.0
L200965,1635,1,1,11,suburbs,yes,283300.0
L200966,1583,3,3,32,downtown,yes,374700.0
L200967,1580,2,2,65,waterfront,yes,400300.0
L200968,3123,3,3,68,downtown,yes,582300.0
L200969,3229,4,3,38,rural,yes,562100.0
L200970,4494,5,4,79,suburbs,yes,724700.0
L200971,1446,3,2,2,waterfront,yes,430600.0
L200972,1007,2,2,4,suburbs,no,195900.0
L200973,4336,4,4,4,waterfront,yes,879800.0
L200974,2638,2,1,4,suburbs,no,436100.0
L200975,2030,2,2,0,suburbs,yes,384300.0
L200976,1791,2,2,4,downtown,yes,398700.0
L200977,4045,4,4,63,suburbs,yes,649800.0
L200978,3685,3,2,36,downtown,no,667300.0
L200979,1282,2,1,62,rural,yes,194800.0
L200980,1866,3,2,62,suburbs,yes,368000.0
L200981,3993,4,3,55,suburbs,yes,625400.0
L200982,3460,4,4,7,downtown,no,702400.0
L200983,3778,4,3,9,downtown,no,692700.0
L200984,1225,1,1,55,suburbs,yes,210400.0
L200985,2859,3,3,76,suburbs,yes,478100.0
L200986,861,1,1,13,suburbs,yes,220100.0
L200987,2356,3,3,50,waterfront,yes,562800.0
L200988,1005,1,1,2,downtown,yes,309600.0
L200989,1646,2,2,15,suburbs,no,303600.0
L200990,1615,1,1,47,downtown,yes,378100.0
L200991,1335,3,2,52,suburbs,yes,278000.0
L200992,3913,3,2,47,suburbs,no,539000.0
L200993,2047,3,3,36,suburbs,yes,385600.0
L200994,1186,1,1,22,rural,yes,193900.0
L200995,4454,5,4,63,downtown,yes,785300.0
L200996,730,1,1,25,downtown,yes,243100.0
L200997,1178,1,1,56,downtown,yes,272800.0
L200998,3928,5,4,28,suburbs,yes,670600.0
L200999,2359,2,1,41,downtown,no,477000.0
L201000,2062,3,2,74,suburbs,no,300400.0
L201001,1790,2,2,31,suburbs,yes,298000.0
L201002,2896,3,3,69,suburbs,no,435100.0
L201003,1999,2,2,4,suburbs,yes,393800.0
L201004,926,1,1,42,waterfront,yes,310200.0
L201005,4358,5,4,40,waterfront,yes,837800.0
L201006,4138,5,4,77,suburbs,yes,662800.0
L201007,1287,2,2,21,waterfront,yes,389300.0
L201008,2567,4,4,46,rural,no,398900.0
L201009,2368,3,3,46,downtown,no,486700.0
L201010,949,2,1,8,suburbs,yes,262600.0
L201011,2154,4,4,79,suburbs,yes,381900.0
L201012,3071,2,1,38,rural,yes,475200.0
L201013,1006,2,1,34,rural,no,168400.0
L201014,2025,3,2,71,suburbs,yes,378900.0
L201015,1580,2,2,5,suburbs,yes,371700.0
L201016,1978,4,4,53,suburbs,no,358600.0
L201017,3056,5,4,1,suburbs,yes,587900.0
L201018,2192,2,2,76,suburbs,no,358500.0
L201019,3594,4,4,64,suburbs,yes,608600.0
L201020,2581,3,2,42,rural,no,378000.0
L201021,3298,3,2,31,suburbs,no,494700.0
L201022,3015,5,4,72,downtown,yes,569600.0
L201023,3786,5,4,19,downtown,yes,743000.0
L201024,1171,1,1,61,suburbs,yes,190300.0
L201025,4464,4,3,33,suburbs,yes,711200.0
L201026,3542,4,3,65,suburbs,yes,568400.0
L201027,1372,1,1,59,suburbs,yes,275700.0
L201028,705,1,1,79,rural,yes,62300.0
L201029,699,1,1,48,rural,no,91600.0
L201030,3326,5,4,24,suburbs,yes,593500.0
L201031,2249,2,2,70,suburbs,yes,413800.0
L201032,1314,1,1,50,suburbs,yes,192200.0
L201033,1839,2,2,56,suburbs,yes,299000.0
L201034,2342,3,2,20,downtown,yes,491500.0
L201035,760,1,1,42,suburbs,yes,162000.0
L201036,2790,4,4,68,suburbs,yes,512300.0
L201037,741,1,1,29,suburbs,no,176000.0
L201038,3124,4,4,46,rural,yes,501000.0
L201039,838,1,1,16,downtown,yes,257400.0
L201040,3685,4,4,14,downtown,no,693400.0
L201041,1586,1,1,61,waterfront,yes,366800.0
L201042,2613,3,3,33,suburbs,no,476900.0
L201043,2104,2,2,16,downtown,no,439200.0
L201044,4032,5,4,14,suburbs,yes,753200.0
L201045,3698,4,3,9,downtown,no,706500.0
L201046,4324,5,4,36,suburbs,yes,759800.0
L201047,3390,4,3,24,suburbs,no,511600.0
L201048,4406,6,4,6,waterfront,yes,906400.0
L201049,1478,1,1,38,downtown,yes,332400.0
L201050,1846,2,1,77,suburbs,yes,307000.0
L201051,3757,4,3,78,suburbs,yes,641300.0
L201052,725,1,1,47,downtown,yes,224500.0
L201053,1297,1,1,46,downtown,yes,259600.0
L201054,3391,5,4,79,downtown,yes,645200.0
L201055,2159,2,2,60,downtown,yes,441400.0
L201056,1582,2,2,13,rural,yes,272000.0
L201057,1783,3,3,42,rural,yes,302900.0
L201058,3593,4,4,30,suburbs,yes,646900.0
L201059,2472,3,3,11,suburbs,yes,464600.0
L201060,619,1,1,74,suburbs,yes,140100.0
L201061,2614,3,2,47,downtown,yes,511300.0
L201062,3631,4,3,55,suburbs,yes,549100.0
L201063,1249,2,1,63,waterfront,no,328200.0
L201064,873,1,1,5,downtown,yes,253600.0
L201065,3048,3,2,25,downtown,yes,600400.0
L201066,4029,5,4,70,downtown,yes,739000.0
L201067,875,1,1,16,suburbs,yes,171500.0
L201068,3140,3,3,15,rural,yes,529900.0
L201069,3637,6,4,49,suburbs,yes,655700.0
L201070,1230,2,2,20,suburbs,no,258700.0
L201071,1615,2,2,66,suburbs,yes,304100.0
L201072,2580,2,2,58,rural,no,350600.0
L201073,2982,2,2,61,suburbs,yes,471100.0
L201074,2570,3,3,56,suburbs,no,371700.0
L201075,1316,2,2,11,downtown,no,356300.0
L201076,4028,5,4,52,downtown,yes,745700.0
L201077,2241,1,1,13,waterfront,yes,506500.0
L201078,2676,3,2,0,suburbs,no,475400.0
L201079,2689,3,2,78,downtown,yes,505100.0
L201080,2746,3,2,19,waterfront,yes,634300.0
L201081,1730,3,3,55,waterfront,no,423900.0
L201082,1844,3,2,27,downtown,yes,425800.0
L201083,1141,2,2,56,suburbs,no,216900.0
L201084,3441,4,3,32,waterfront,yes,661200.0
L201085,1823,2,2,35,downtown,no,361500.0
L201086,796,1,1,5,suburbs,yes,204300.0
L201087,781,1,1,37,suburbs,yes,196600.0
L201088,4375,5,4,54,rural,no,719300.0
L201089,2268,2,1,57,suburbs,yes,339300.0
L201090,2964,4,3,71,suburbs,no,508100.0
L201091,2682,1,1,47,suburbs,yes,449700.0
L201092,3898,4,3,79,rural,yes,602800.0
L201093,4062,5,4,50,downtown,no,684200.0
L201094,3646,5,4,63,downtown,yes,667600.0
L201095,4429,5,4,11,suburbs,no,760000.0
L201096,1450,1,1,16,suburbs,no,255300.0
L201097,2352,3,2,47,suburbs,yes,356500.0
L201098,1727,2,2,40,downtown,no,355200.0
L201099,3848,5,4,39,rural,no,600300.0
L201100,1684,3,3,73,suburbs,no,305100.0
L201101,3697,5,4,38,suburbs,no,645200.0
L201102,1479,2,1,5,downtown,yes,374100.0
L201103,3302,3,3,41,downtown,no,593200.0
L201104,662,1,1,18,suburbs,yes,164800.0
L201105,3675,4,4,2,suburbs,yes,659800.0
L201106,3825,5,4,21,rural,no,657500.0
L201107,2796,3,2,0,suburbs,yes,497100.0
L201108,2697,3,3,48,suburbs,yes,448300.0
L201109,2391,2,1,37,rural,yes,397200.0
L201110,2905,3,3,76,downtown,yes,554400.0
L201111,2805,4,3,5,suburbs,no,525300.0
L201112,2517,3,3,38,suburbs,yes,489500.0
L201113,2630,3,2,73,downtown,yes,541000.0
